,CLOSE
2020-01-02,-0.005700000000000038
2020-01-03,-0.007599999999999607
2020-01-06,0.0026999999999999247
2020-01-07,-0.0041999999999999815
2020-01-08,-0.015300000000000313
2020-01-09,-0.036499999999999755
2020-01-10,0.0020999999999999908
2020-01-13,0.01540000000000008
2020-01-14,-0.009700000000000042
2020-01-15,0.0020999999999999908
2020-01-16,-0.008599999999999941
2020-01-17,-0.0052000000000003155
2020-01-19,-0.00039999999999995595
2020-01-20,-0.04389999999999983
2020-01-21,-0.00550000000000006
2020-01-22,-0.03500000000000014
2020-01-23,-0.1700999999999997
2020-02-03,0.03200000000000003
2020-02-04,-0.011100000000000332
2020-02-05,-0.0047999999999999154
2020-02-06,-0.036799999999999944
2020-02-07,-0.015200000000000102
2020-02-10,0.046800000000000175
2020-02-11,-0.000700000000000145
2020-02-12,-0.013199999999999878
2020-02-13,0.04300000000000015
2020-02-14,0.029699999999999616
2020-02-17,-0.026399999999999757
2020-02-18,0.011200000000000099
2020-02-19,0.008099999999999774
2020-02-20,-0.03869999999999996
2020-02-21,-0.03500000000000014
2020-02-24,0.010000000000000231
2020-02-25,-0.024700000000000166
2020-02-26,-0.027099999999999902
2020-02-27,-0.03259999999999996
2020-02-28,0.005199999999999871
2020-03-02,0.004999999999999893
2020-03-03,-0.07479999999999976
2020-03-04,0.00990000000000002
2020-03-05,-0.05489999999999995
2020-03-06,-0.10749999999999993
2020-03-09,0.0924999999999998
2020-03-10,-0.0051000000000001044
2020-03-11,0.03000000000000025
2020-03-12,0.03799999999999981
2020-03-13,-9.999999999976694e-05
2020-03-16,0.03769999999999962
2020-03-17,0.00010000000000021103
2020-03-18,0.016300000000000203
2020-03-19,-0.0484
2020-03-20,-0.050000000000000266
2020-03-23,-0.0026000000000001577
2020-03-24,0.0
2020-03-25,-0.03489999999999993
2020-03-26,0.015000000000000124
2020-03-27,0.005199999999999871
2020-03-30,-0.024299999999999766
2020-03-31,-0.03489999999999993
2020-04-01,0.03039999999999976
2020-04-02,0.011099999999999888
2020-04-03,-0.08529999999999971
2020-04-07,-0.028799999999999937
2020-04-08,0.040200000000000014
2020-04-09,0.017699999999999605
